57863	0.06	0.39532	0.87971	0.87971
57862	0.06	0.39536	1.1729	1.1729
57861	0.06	0.39565	1.4675	1.4675
57860	0.06	0.39616	1.7564	1.7564
57859	0.06	0.39688	2.047	2.047
57858	0.06	0.39779	2.3408	2.3408
57857	0.06	0.39885	2.6277	2.6277
57856	0.06	0.40003	2.9171	2.9171
57855	0.06	0.40129	3.2079	3.2079
57854	0.06	0.40259	3.4943	3.4943
57853	0.06	0.40391	3.7833	3.7833
57852	0.06	0.40518	4.0689	4.0689
57851	0.06	0.40639	4.3573	4.3573
57850	0.06	0.4075	4.6432	4.6432
57849	0.06	0.40847	4.927	4.927
57848	0.06	0.4093	5.2155	5.2155
57847	0.06	0.40997	5.4998	5.4998
57846	0.06	0.41046	5.784	5.784
57845	0.06	0.41077	6.0718	6.0718
57844	0.06	0.4109	0.074171	0.074171
57843	0.06	0.41086	0.35871	0.35871
57842	0.06	0.41066	0.64727	0.64727
57841	0.06	0.41031	0.93176	0.93176
57840	0.06	0.40984	1.2212	1.2212
57839	0.06	0.40925	1.5054	1.5054
57838	0.06	0.40858	1.7946	1.7946
57837	0.06	0.40785	2.083	2.083
57836	0.06	0.40708	2.3686	2.3686
57835	0.06	0.40629	2.6584	2.6584
57834	0.06	0.40551	2.9474	2.9474
57833	0.06	0.40475	3.2338	3.2338
57832	0.06	0.40403	3.524	3.524
57831	0.06	0.40336	3.8115	3.8115
57830	0.06	0.40275	4.1006	4.1006
57829	0.06	0.4022	4.3871	4.3871
57828	0.06	0.40173	4.6754	4.6754
57827	0.06	0.40134	4.9635	4.9635
57826	0.06	0.40102	5.2471	5.2471
57825	0.06	0.40078	5.5341	5.5341
57824	0.06	0.40061	5.8185	5.8185
57823	0.06	0.40051	6.1002	6.1002
57822	0.06	0.40047	0.098105	0.098105
57821	0.06	0.40049	0.37969	0.37969
57820	0.06	0.40056	0.65487	0.65487
57819	0.06	0.40068	0.93214	0.93214
57818	0.06	0.40083	1.2045	1.2045
57817	0.06	0.40103	1.4765	1.4765
57816	0.06	0.40126	1.7445	1.7445
57815	0.06	0.40152	2.009	2.009
57814	0.06	0.40181	2.2749	2.2749
57813	0.06	0.40213	2.533	2.533
57812	0.06	0.40247	2.7897	2.7897
57811	0.06	0.40284	3.0473	3.0473
57810	0.06	0.40322	3.2973	3.2973
57809	0.06	0.40361	3.5457	3.5457
57808	0.06	0.40401	3.7976	3.7976
57807	0.06	0.40441	4.0395	4.0395
57806	0.06	0.40481	4.2861	4.2861
57805	0.06	0.40518	4.5296	4.5296
57804	0.06	0.40553	4.7732	4.7732
57803	0.06	0.40585	5.0178	5.0178
57802	0.06	0.40612	5.259	5.259
57801	0.06	0.40634	5.5079	5.5079
57800	0.06	0.4065	5.753	5.753
57799	0.06	0.40659	5.9998	5.9998
57798	0.06	0.40662	6.2536	6.2536
57797	0.06	0.40657	0.22249	0.22249
57796	0.06	0.40646	0.4758	0.4758
57795	0.06	0.40627	0.73784	0.73784
57794	0.06	0.40603	0.99611	0.99611
57793	0.06	0.40572	1.2601	1.2601
57792	0.06	0.40537	1.526	1.526
57791	0.06	0.40499	1.7939	1.7939
57790	0.06	0.40458	2.0646	2.0646
57789	0.06	0.40418	2.3366	2.3366
57788	0.06	0.40379	2.6107	2.6107
57787	0.06	0.40344	2.8897	2.8897
57786	0.06	0.40314	3.1646	3.1646
57785	0.06	0.4029	3.4474	3.4474
57784	0.06	0.40274	3.7289	3.7289
57783	0.06	0.40266	4.0105	4.0105
57782	0.06	0.40267	4.2957	4.2957
57781	0.06	0.40277	4.581	4.581
57780	0.06	0.40296	4.8659	4.8659
57779	0.06	0.40323	5.1527	5.1527
57778	0.06	0.40356	5.4395	5.4395
57777	0.06	0.40394	5.7266	5.7266
57776	0.06	0.40437	6.0137	6.0137
57775	0.06	0.4048	0.017127	0.017127
57774	0.06	0.40523	0.3062	0.3062
57773	0.06	0.40563	0.59138	0.59138
57772	0.06	0.40598	0.87899	0.87899
57771	0.06	0.40626	1.1667	1.1667
57770	0.06	0.40645	1.452	1.452
57769	0.06	0.40653	1.7391	1.7391
57768	0.06	0.4065	2.0251	2.0251
