	0	5	15	25	35	45	55	65	75	85	95	105	115	125	135	145	155	165	175	185	195	205	215	225	235	245	255	265	275	285	295	305	315	325	335	345	355	365	375	385	395
250	5.90E-02	5.88E-02	5.87E-02	5.86E-02	5.86E-02	5.85E-02	5.84E-02	5.82E-02	5.81E-02	5.80E-02	5.80E-02	5.79E-02	5.79E-02	5.78E-02	5.83E-02	5.87E-02	5.58E-02	5.60E-02	5.62E-02	5.79E-02	5.78E-02	5.78E-02	5.83E-02	5.83E-02	5.81E-02	5.81E-02	5.80E-02	5.80E-02	5.80E-02	5.80E-02	5.79E-02	5.79E-02	5.79E-02	5.78E-02	5.78E-02	5.78E-02	5.77E-02	5.77E-02	5.76E-02	5.76E-02	
300	4.96E-02	4.95E-02	4.94E-02	4.93E-02	4.92E-02	4.91E-02	4.90E-02	4.88E-02	4.87E-02	4.87E-02	4.87E-02	4.85E-02	4.92E-02	4.71E-02	4.73E-02	4.86E-02	4.86E-02	4.91E-02	4.90E-02	4.91E-02	4.89E-02	4.88E-02	4.88E-02	4.87E-02	4.87E-02	4.87E-02	4.87E-02	4.86E-02	4.86E-02	4.86E-02	4.86E-02	4.85E-02	4.85E-02	4.85E-02	4.85E-02	4.84E-02	4.84E-02	4.83E-02	4.83E-02	4.83E-02	
400	3.74E-02	3.73E-02	3.73E-02	3.72E-02	3.69E-02	3.69E-02	3.68E-02	3.67E-02	3.67E-02	3.71E-02	3.67E-02	3.70E-02	3.71E-02	3.71E-02	3.69E-02	3.68E-02	3.68E-02	3.67E-02	3.67E-02	3.67E-02	3.67E-02	3.66E-02	3.66E-02	3.66E-02	3.66E-02	3.66E-02	3.65E-02	3.65E-02	3.65E-02	3.65E-02	3.64E-02	3.64E-02	3.64E-02	3.64E-02	3.64E-02	3.63E-02	3.63E-02	3.63E-02	3.63E-02	3.62E-02	
500	2.98E-02	2.98E-02	2.95E-02	2.95E-02	2.94E-02	2.93E-02	2.93E-02	2.96E-02	2.96E-02	2.96E-02	2.95E-02	2.94E-02	2.94E-02	2.93E-02	2.93E-02	2.93E-02	2.92E-02	2.92E-02	2.92E-02	2.92E-02	2.91E-02	2.91E-02	2.91E-02	2.91E-02	2.91E-02	2.90E-02	2.90E-02	2.90E-02	2.90E-02	2.90E-02	2.90E-02	2.89E-02	2.89E-02	2.89E-02	2.89E-02	2.89E-02	2.89E-02	2.89E-02	2.89E-02	2.88E-02	
600	2.47E-02	2.45E-02	2.44E-02	2.43E-02	2.43E-02	2.44E-02	2.45E-02	2.44E-02	2.44E-02	2.43E-02	2.43E-02	2.42E-02	2.42E-02	2.42E-02	2.42E-02	2.41E-02	2.41E-02	2.41E-02	2.41E-02	2.41E-02	2.40E-02	2.40E-02	2.40E-02	2.40E-02	2.40E-02	2.40E-02	2.40E-02	2.39E-02	2.39E-02	2.39E-02	2.39E-02	2.39E-02	2.39E-02	2.39E-02	2.39E-02	2.39E-02	2.39E-02	2.38E-02	2.38E-02	2.38E-02	
700	2.08E-02	2.07E-02	2.07E-02	2.06E-02	2.07E-02	2.07E-02	2.07E-02	2.07E-02	2.06E-02	2.06E-02	2.05E-02	2.05E-02	2.05E-02	2.05E-02	2.05E-02	2.05E-02	2.04E-02	2.04E-02	2.04E-02	2.04E-02	2.04E-02	2.04E-02	2.03E-02	2.03E-02	2.03E-02	2.03E-02	2.03E-02	2.03E-02	2.03E-02	2.03E-02	2.03E-02	2.03E-02	2.03E-02	2.03E-02	2.02E-02	2.02E-02	2.02E-02	2.02E-02	2.02E-02	2.02E-02	
800	1.80E-02	1.79E-02	1.79E-02	1.78E-02	1.79E-02	1.79E-02	1.79E-02	1.78E-02	1.78E-02	1.78E-02	1.77E-02	1.77E-02	1.77E-02	1.77E-02	1.77E-02	1.77E-02	1.77E-02	1.76E-02	1.76E-02	1.76E-02	1.76E-02	1.76E-02	1.76E-02	1.76E-02	1.76E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	1.75E-02	
900	1.57E-02	1.57E-02	1.56E-02	1.57E-02	1.57E-02	1.57E-02	1.56E-02	1.56E-02	1.56E-02	1.56E-02	1.55E-02	1.55E-02	1.55E-02	1.55E-02	1.55E-02	1.55E-02	1.54E-02	1.54E-02	1.54E-02	1.54E-02	1.54E-02	1.54E-02	1.54E-02	1.54E-02	1.54E-02	1.54E-02	1.54E-02	1.54E-02	1.54E-02	1.54E-02	1.53E-02	1.53E-02	1.53E-02	1.53E-02	1.53E-02	1.53E-02	1.53E-02	1.53E-02	1.53E-02	1.53E-02	
1000	1.39E-02	1.39E-02	1.39E-02	1.39E-02	1.39E-02	1.39E-02	1.38E-02	1.38E-02	1.38E-02	1.38E-02	1.38E-02	1.37E-02	1.37E-02	1.37E-02	1.37E-02	1.37E-02	1.37E-02	1.37E-02	1.37E-02	1.37E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	1.36E-02	
1100	1.25E-02	1.25E-02	1.25E-02	1.25E-02	1.25E-02	1.24E-02	1.24E-02	1.24E-02	1.24E-02	1.23E-02	1.23E-02	1.23E-02	1.23E-02	1.23E-02	1.23E-02	1.23E-02	1.23E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	1.22E-02	
